Q1,Q2,Q3,Q4,Q6,Q24
32,Man,United States of America,Master’s degree,7,110979
37,Man,Argentina,Bachelor’s degree,10,15941
34,Man,United States of America,Master’s degree,10,132881
37,Man,Germany,Doctoral degree,9,75892
36,Man,United States of America,Doctoral degree,1,34256
33,Man,Canada,Bachelor’s degree,0.6188634898548115,90945
34,Man,Switzerland,Bachelor’s degree,0.4255745447505337,79956
23,Woman,India,Doctoral degree,3,1052
30,Man,Russia,Bachelor’s degree,0.6724838447752014,636
55,Woman,Canada,Master’s degree,1,136356
38,Man,South Africa,Some college/university study without earning a bachelor’s degree,0.12569236035512532,12222
52,Man,United States of America,Master’s degree,25,167766
32,Man,Netherlands,Bachelor’s degree,11,69098
29,Man,Russia,Bachelor’s degree,4,11913
37,Woman,Pakistan,Master’s degree,9,17267
54,Woman,United States of America,Bachelor’s degree,0,143681
38,Man,India,Bachelor’s degree,0,17745
24,Man,Indonesia,Master’s degree,3,4661
21,Man,India,Bachelor’s degree,5,642786
28,Man,Indonesia,Doctoral degree,7,508
37,Man,India,Master’s degree,17,14199
28,Woman,Belarus,Master’s degree,1,1489
25,Man,India,Doctoral degree,5,131
32,Man,Ukraine,Master’s degree,4,64805
37,Man,United States of America,Master’s degree,0.9739833476345655,130625
26,Man,United States of America,Master’s degree,19,393506
38,Man,Saudi Arabia,Bachelor’s degree,0,41381
35,Man,Taiwan,Master’s degree,8,29511
35,Man,United States of America,Doctoral degree,1,73369
25,Man,India,Bachelor’s degree,5,10594
19,Woman,Indonesia,Bachelor’s degree,0.3620367426228155,534
35,Man,Germany,Doctoral degree,12,64562
26,Man,China,Some college/university study without earning a bachelor’s degree,0.8939303850230887,814
52,Woman,Italy,Doctoral degree,2,319
42,Man,India,Professional degree,12,80250
27,Man,Taiwan,Master’s degree,3,26801
19,Man,India,Bachelor’s degree,0.09271424766580527,234
23,Man,Russia,Master’s degree,4,16676
44,Man,India,Master’s degree,0.24472682778022903,15683
30,Man,United Arab Emirates,Master’s degree,7,80038
59,Man,Colombia,Master’s degree,12,48893
35,Man,Canada,Master’s degree,15,85770
24,Man,India,Bachelor’s degree,4,10684
32,Man,India,Master’s degree,0.0833402442282074,38116
24,Man,Viet Nam,Master’s degree,3,15002
53,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,13,94585
28,Man,Egypt,Bachelor’s degree,1,514
34,Man,United States of America,Bachelor’s degree,1,51593
18,Man,India,Bachelor’s degree,2,568
22,Man,Brazil,Professional degree,0.9335153163579726,148
20,Man,Mexico,Some college/university study without earning a bachelor’s degree,0.8143388264451057,8802
28,Woman,Egypt,Master’s degree,5,488
38,Man,United States of America,Master’s degree,6,114359
35,Man,Russia,Doctoral degree,17,15154
48,Woman,United States of America,Doctoral degree,15,265851
25,Man,Poland,Master’s degree,4,18555
41,Man,United States of America,Master’s degree,5,0
26,Man,Netherlands,Master’s degree,3,329
35,Man,Canada,Master’s degree,5,89035
36,Man,Nigeria,Bachelor’s degree,16,66608
27,Woman,India,Bachelor’s degree,2,5662
29,Man,United States of America,Master’s degree,17,61691
23,Man,France,Master’s degree,3,50191
